subset,condition,seed,n,positive,negative,status,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
source_screen_no_detected_exposure_or_absence,asof__MLP__M5,123,7757,6,7751,DESCRIPTIVE,0.6134047219713585,0.00135425282248597,0.0,0.0,0.16666666666666666,388,1,1,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,asof__MLP__M5,456,7757,6,7751,DESCRIPTIVE,0.6449920440373285,0.0018126851221852208,0.0,0.002577319587628866,0.3333333333333333,388,1,1,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,asof__MLP__M5,789,7757,6,7751,DESCRIPTIVE,0.6374446308003269,0.0016540285330790823,0.0,0.0,0.3333333333333333,388,1,1,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,asof__MLP__M5,1024,7757,6,7751,DESCRIPTIVE,0.6615705500365544,0.0019040476111054942,0.0,0.002577319587628866,0.3333333333333333,388,1,1,0,0.002577319587628866,0.002577319587628866
source_screen_no_detected_exposure_or_absence,asof__MLP__M11,42,7757,6,7751,DESCRIPTIVE,0.8022190685072894,0.004569417924012851,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__MLP__M11,123,7757,6,7751,DESCRIPTIVE,0.7674708639745409,0.003403465502316612,0.007905138339920948,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__MLP__M11,456,7757,6,7751,DESCRIPTIVE,0.828495247924999,0.004369182824084412,0.0,0.005154639175257732,0.3333333333333333,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__MLP__M11,789,7757,6,7751,DESCRIPTIVE,0.8226895454349976,0.004992648409162909,0.0,0.005154639175257732,0.6666666666666666,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__MLP__M11,1024,7757,6,7751,DESCRIPTIVE,0.8523416333376339,0.005187002841599943,0.0,0.005154639175257732,0.5,388,1,1,0,0.005154639175257732,0.005154639175257732
source_screen_no_detected_exposure_or_absence,asof__RandomForest__M5,42,7757,6,7751,DESCRIPTIVE,0.7151872876618071,0.0022826239479756256,0.0,0.0,0.3333333333333333,388,23,11,0,0.0,0.0
source_screen_no_detected_exposure_or_absence,asof__RandomForest__M5,123,7757,6,7751,DESCRIPTIVE,0.7542467638584269,0.0020589618470332363,0.0,0.0,0.16666666666666666,388,10,3,0,0.0,0.0
