left,right,resampling_scheme,metric,observed_delta,ci_low,ci_high,replicates,n,positives,company_clusters
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_x_matched_seed,f1_val_threshold,0.00010083549409392115,-0.014816315918977516,0.019647432176167795,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_x_matched_seed,p_at_5pct,0.01232227488151659,0.00047393364928910095,0.026128266033254154,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__GCN__M11,company_x_matched_seed,r_at_10fpr,0.1,-0.10438618925831203,0.3481944444444442,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_x_matched_seed,roc_auc,0.08453297682709449,0.012391804844322105,0.18010297813580817,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_x_matched_seed,ap,0.002466224286485433,-0.0016725428083162307,0.008509582413839617,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_x_matched_seed,f1_val_threshold,-0.0029919932574799827,-0.02025819907940161,0.007513517121687461,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_x_matched_seed,p_at_5pct,0.0033175355450236962,-0.0038115952583695624,0.011374407582938386,2000,8435,20,4531
fixed1095__MLP__M11,fixed1095__SAGE__M11,company_x_matched_seed,r_at_10fpr,0.09000000000000002,-0.06666666666666665,0.2615624999999998,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_x_matched_seed,roc_auc,0.0483458110516934,-0.03896229058745028,0.1546731803143298,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_x_matched_seed,ap,0.0062688227220870545,0.00031194486325996344,0.01904465352348259,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_x_matched_seed,f1_val_threshold,-0.0009157509157509153,-0.009877234640683425,0.005775756216809578,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_x_matched_seed,p_at_5pct,0.01042654028436019,0.0,0.02169811320754717,2000,8435,20,4531
fixed1095__RandomForest__M11,fixed1095__SAGE__M11,company_x_matched_seed,r_at_10fpr,0.1,-0.04707282913165271,0.2909090909090909,2000,8435,20,4531
