identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
REVERSE_GCN_M11_seed1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.8027035056446821,0.8027035056446821,0.0,0.006752076253683714,0.006752076253683716,1.734723475976807e-18,0.006060606060606061,0.006060606060606061,0.0,0.002369668246445498,0.002369668246445498,0.0,0.35,0.35,0.0,False
REVERSE_GCN_G6_seed42,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.5767914438502673,0.5767914438502674,1.1102230246251565e-16,0.005069725737322563,0.005069725737322564,8.673617379884035e-19,0.0,0.0,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.2,0.2,0.0,False
REVERSE_GCN_G6_seed123,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.5834640522875817,0.5834640522875817,0.0,0.005436462257976138,0.005436462257976138,0.0,0.0,0.0,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.25,0.25,0.0,False
REVERSE_GCN_G6_seed456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.5797504456327985,0.5797504456327986,1.1102230246251565e-16,0.0053756536818822245,0.0053756536818822245,0.0,0.0,0.0,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.2,0.2,0.0,False
REVERSE_GCN_G6_seed789,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.5928698752228164,0.5928698752228163,-1.1102230246251565e-16,0.005347751423060393,0.0053477514230603936,8.673617379884035e-19,0.0,0.0,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.25,0.25,0.0,False
REVERSE_GCN_G6_seed1024,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.5839364230540701,0.5839364230540701,0.0,0.0053900857557528025,0.005390085755752803,8.673617379884035e-19,0.0,0.0,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.25,0.25,0.0,False
REVERSE_GAT_M11_seed42,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.8305109922756981,0.8305109922756981,0.0,0.009700176646923173,0.009700176646923173,0.0,0.0,0.0,0.0,0.016587677725118485,0.016587677725118485,0.0,0.5,0.5,0.0,False
REVERSE_GAT_M11_seed123,8435,422,2,2,0,0.002369668246445498,0.002369668246445498,0.5911556743909684,0.5911556743909685,1.1102230246251565e-16,0.00353197590798399,0.0035319759079839906,4.336808689942018e-19,0.004366812227074236,0.004366812227074236,0.0,0.002369668246445498,0.002369668246445498,0.0,0.15,0.15,0.0,False
REVERSE_GAT_M11_seed456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.7492572786690435,0.7492572786690435,0.0,0.004949137022653796,0.004949137022653796,0.0,0.005008347245409015,0.005008347245409015,0.0,0.002369668246445498,0.002369668246445498,0.0,0.1,0.1,0.0,False
REVERSE_GAT_M11_seed789,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.6812477718360072,0.6812477718360072,0.0,0.00439511699611204,0.00439511699611204,0.0,0.004234297812279464,0.004234297812279464,0.0,0.004739336492890996,0.004739336492890996,0.0,0.1,0.1,0.0,False
REVERSE_GAT_M11_seed1024,8435,422,1863,422,4,0.0,0.009478672985781991,0.7092156862745098,0.7092156862745098,0.0,0.003844483294491784,0.0038444832944917844,4.336808689942018e-19,0.004016064257028112,0.004016064257028112,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.0,0.0,True
REVERSE_GAT_G6_seed42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.6039869281045751,0.6039869281045751,0.0,0.0037473623437771454,0.003747362343777146,4.336808689942018e-19,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.2,0.2,0.0,False
REVERSE_GAT_G6_seed123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.6252198455139631,0.6252198455139631,0.0,0.004459930900252148,0.004459930900252148,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.2,0.2,0.0,False
REVERSE_GAT_G6_seed456,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.6159328579916815,0.6159328579916815,0.0,0.004160243866511537,0.004160243866511537,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.2,0.2,0.0,False
REVERSE_GAT_G6_seed789,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.5999762329174094,0.5999762329174094,0.0,0.0036266542260794394,0.0036266542260794394,0.0,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.2,0.2,0.0,False
