label,condition,protocol,n_seeds,test_n,test_pos,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_mean,f1_sd,p_at_5pct_mean,p_at_5pct_sd,r_at_10fpr_mean,r_at_10fpr_sd
label_v1_strict_ab_primary,TABUW_Lasso_M11,tabular_unweighted,5,8435,20,0.6590350564468211,5.3144812299080906e-06,0.00979020272982314,6.797979646134932e-08,0.02777777777777778,3.878959614448864e-18,0.011848341232227487,0.0,0.3,0.0
label_v1_strict_ab_primary,TABUW_Lasso_M5,tabular_unweighted,5,8435,20,0.6363101604278074,5.551115123125783e-17,0.0045521964773378686,3.0539320125648565e-08,0.01020408163265306,0.0,0.004739336492890996,0.0,0.15,0.0
label_v1_strict_ab_primary,TABUW_RandomForest_M10,tabular_unweighted,5,8435,20,0.8454206773618538,0.008257497757438942,0.014909467332185695,0.0011815249641271305,0.03373933076694423,0.010228217684162542,0.014218009478672985,0.0,0.4699999999999999,0.04472135954999579
label_v1_strict_ab_primary,TABUW_RandomForest_M11,tabular_unweighted,5,8435,20,0.8638686868686868,0.0055641741289352824,0.014760277167452828,0.000655397265759818,0.026513301932993404,0.014914806588713456,0.016587677725118485,0.0,0.4600000000000001,0.04183300132670377
label_v1_strict_ab_primary,TABUW_RandomForest_M5,tabular_unweighted,5,8435,20,0.7801729055258467,0.008064942888011161,0.011970499819626616,0.0022807299933146554,0.036497066152238564,0.02815324941622363,0.008530805687203793,0.0012979207523819108,0.38,0.057008771254956916
label_v1_strict_ab_primary,TABUW_Ridge_M10,tabular_unweighted,5,8435,20,0.6371420083184789,0.0,0.01052230296287559,0.0,0.024691358024691357,0.0,0.011848341232227487,0.0,0.35,0.0
label_v1_strict_ab_primary,TABUW_Ridge_M11,tabular_unweighted,5,8435,20,0.6531491384432561,0.0,0.009225968175263204,0.0,0.029411764705882353,0.0,0.011848341232227487,0.0,0.3,0.0
label_v1_strict_ab_primary,TABUW_Ridge_M5,tabular_unweighted,5,8435,20,0.6267260843731433,0.0,0.004726195297139393,0.0,0.011363636363636364,0.0,0.004739336492890996,0.0,0.2,0.0
label_v1_strict_ab_primary,TABUW_XGBoost_M10,tabular_unweighted,5,8435,20,0.7606892453951278,0.0,0.012628077555391058,1.939479807224432e-18,0.0,0.0,0.02132701421800948,0.0,0.45,0.0
label_v1_strict_ab_primary,TABUW_XGBoost_M11,tabular_unweighted,5,8435,20,0.7355793226381462,0.0,0.009388571049088081,0.0,0.0,0.0,0.009478672985781991,0.0,0.45,0.0
