left_condition,right_condition,delta_definition,resampling_scheme,metric,observed_mean_paired_delta,seed_paired_delta_sd,ci_low,ci_high,n_matched_seeds,n_company_clusters,n_test_rows,n_test_positives,bootstrap_replicates
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_x_matched_seed,p_at_5pct,-0.00047393364928909976,0.0019826066979480458,-0.007582938388625591,0.004750593824228027,5,4531,8435,20,2000
REVERSE_RGCN_M11,STORED_RGCN_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.04,0.09617692030835674,-0.10774193548387102,0.21431318681318667,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,roc_auc,0.013774212715389167,0.026398307172295635,-0.03930262304285159,0.06590026733854719,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,ap,0.0026361250013616487,0.0013301829253220183,-0.003894238633925359,0.01666468063984563,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.005945798679569892,0.0036634579781575135,-0.020035102921739843,0.035646141529886675,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.00900473933649289,0.004558147881912641,-0.002364066193853428,0.021749408983451533,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GCN_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,-0.02999999999999998,0.07582875444051551,-0.21111111111111114,0.18461538461538457,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_x_matched_seed,roc_auc,0.1196108140225787,0.07819506101549754,0.04335364052206906,0.19516352795239303,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_x_matched_seed,ap,0.00565378763278653,0.002219278724559572,0.001276960696181351,0.018534392687930275,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.01099437436660283,0.0043747709278648935,-0.003241285269030772,0.03591362696737958,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.008530805687203791,0.0054553859873086915,0.0004727853606316069,0.019047619047619042,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_GAT_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,0.27,0.18907670401189036,0.042052631578947335,0.5185555555555554,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,roc_auc,0.014546642899584027,0.03229158793623051,-0.02325344278117703,0.06162293165340469,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,ap,0.0017919212490702385,0.0019922880187609724,-0.0018414379189771164,0.012125133214936369,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,f1_val_threshold,0.00861243408058352,0.008448481709128777,-0.006593406593406593,0.029201458977753936,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,p_at_5pct,0.005213270142180096,0.004238991426539886,-0.0014251781472684084,0.013680053749052139,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_SAGE_M11,left_minus_right,company_x_matched_seed,r_at_10fpr,1.1102230246251566e-17,0.08660254037844385,-0.15386363636363637,0.15485663082437257,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_x_matched_seed,roc_auc,0.13517290552584665,0.04240347309877372,0.04485375387072775,0.22788352274932125,5,4531,8435,20,2000
STORED_MLP_M11,REVERSE_RGCN_M11,left_minus_right,company_x_matched_seed,ap,0.0034616122878733412,0.001278945313864862,-0.003216024109162991,0.01649920403383842,5,4531,8435,20,2000
