condition,seed,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,p5_unified,p5_archived
TABUW_RandomForest_M10,123,8435,422,15,6,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_RandomForest_M10,456,8435,422,18,3,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_RandomForest_M10,789,8435,422,18,11,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_RandomForest_M10,1024,8435,422,13,10,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_RandomForest_M11,42,8435,422,16,11,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
TABUW_RandomForest_M11,123,8435,422,11,7,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
TABUW_RandomForest_M11,456,8435,422,19,8,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
TABUW_RandomForest_M11,789,8435,422,15,4,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
TABUW_RandomForest_M11,1024,8435,422,10,1,0,0.016587677725118485,0.016587677725118485,0.016587677725118485,0.016587677725118485
TABUW_XGBoost_M5,42,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_XGBoost_M5,123,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_XGBoost_M5,456,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_XGBoost_M5,789,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_XGBoost_M5,1024,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.014218009478672985
TABUW_XGBoost_M10,42,8435,422,1,1,0,0.02132701421800948,0.02132701421800948,0.02132701421800948,0.02132701421800948
TABUW_XGBoost_M10,123,8435,422,1,1,0,0.02132701421800948,0.02132701421800948,0.02132701421800948,0.02132701421800948
TABUW_XGBoost_M10,456,8435,422,1,1,0,0.02132701421800948,0.02132701421800948,0.02132701421800948,0.02132701421800948
TABUW_XGBoost_M10,789,8435,422,1,1,0,0.02132701421800948,0.02132701421800948,0.02132701421800948,0.02132701421800948
TABUW_XGBoost_M10,1024,8435,422,1,1,0,0.02132701421800948,0.02132701421800948,0.02132701421800948,0.02132701421800948
TABUW_XGBoost_M11,42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_XGBoost_M11,123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_XGBoost_M11,456,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_XGBoost_M11,789,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
TABUW_XGBoost_M11,1024,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.009478672985781991,0.009478672985781991
